Plate ID 	CDNAEXT20201130-05
User ID sm20
Date	30-11-2020
Position	Lab Number	Errors
H09	1095479248
G09	1095479252
F09	1095201667
E09	1094266247
C08	1093597023
D08	1093597010
E08	1095200793
F08	1093815157
G08	1095188017
H08	1095185011
A09	1095200818
B09	1093680931
C09	1095200804
D09	1093288961
A07	716863449
B07	716863453
C07	1094185098
D07	1094923395
E07	1095773307
F07	1093499028
G07	1094184580
H07	1094923347
A08	1094923333
B08	1095324711
H05	1095478481
A06	1094184551
B06	654265589
C06	1093745664
D06	1094184473
E06	1092730256
F06	1093642976
G06	1095188003
H06	1093667219
F04	791052070
G04	791052084
H04	791052061
A05	1093288862
B05	720654222
C05	1093652940
D05	1093652939
E05	1093652956
F05	1093652961
G05	1095479223
E03	720654233
F03	720654211
G03	1094215574
H03	1095755192
A04	716862941
B04	716862957
C04	1095755200
D04	1094215588
E04	1092313149
C02	715456367
D02	720654200
E02	715456378
F02	715456389
G02	1095129925
H02	1095129918
A03	720654244
B03	720654255
C03	720654266
D03	720654277
A01	716862467
B01	716862478
C01	715456395
D01	715456403
E01	1093811293
F01	1093811315
G01	715456334
H01	715456340
A02	715456356
B02	720654195
