Plate ID	CSTRAMP20201130-02

Position	Lab number
C01	716872766
D01	716861153
E01	1095079425
F01	716862456
G01	1095119519
H01	716862182
B02	716861858
C02	716861869
D02	715456193
E02	716860354
F02	716860363
G02	931022450
H02	1095670549
A03	1095079439
B03	716862274
C03	727152715
D03	716862215
E03	715456208
F03	716861548
G03	716861552
H03	720951691
B04	716861570
C04	716862304
D04	1095680609
E04	715456217
F04	945010520
G04	716861561
H04	716862332
A05	1095680623
B05	724113533
C05	1095713003
D05	1095694110
E05	1093834464
F05	725319085
G05	716861842
H05	716861897
B06	715456107
C06	724113544
D06	720951738
E06	1093834512
F06	725319096
G06	716861831
H06	716861922
A07	715456116
B07	727144770
C07	716861584
D07	1095079404
E07	715456148
F07	716861593
G07	342236376
H07	1095079418
B08	716862150
C08	715456152
D08	931022464
E08	724113577
F08	1092313130
G08	716862412
H08	1093254023
A09	716862434
B09	717898379
C09	716862423
D09	613686669
E09	716862440
F09	720951706
G09	724113588
H09	1094261958
B10	720951729
C10	1094771016
D10	1095014433
E10	717898368
F10	1094771028
G10	1092313153
H10	1095079711
A11	1095078554
B11	1095680243
C11	1095479209
D11	1095386390
E11	1093798229
F11	1095386403
G11	1095768968
H11	1093606109
B12	1095019296
C12	1095019351
D12	726010944
E12	944908718
F12	1094940022
G12	1093507458
H12	1094956054
