Plate ID	BSD0007

Position	Lab number
A01	NUMT439097
A02	NUMT439167
A03	NUMT439404
A04	NUMT439051
A05	NUMT439060
A06	NUMT439079
A07	NUMT439255
A08	NUMT439121
A09	NUMT439273
A10	NUMT439237
A11	NUMT439282
A12	NUMT439088
B01	NUMT439112
B02	NUMT439389
B03	NUMT439398
B04	NUMT439176
B05	NUMT439185
B06	NUMT439194
B07	NUMT439200
B08	NUMT439219
B09	NUMT439024
B10	NUMT439103
B11	NUMT439130
B12	NUMT439228
C01	NUMT439246
C02	NUMT439264
C03	NUMT439149
C04	NUMT439291
C05	NUMT439307
C06	NUMT439316
C07	NUMT439325
C08	NUMT439334
C09	NUMT439343
C10	NUMT439352
C11	NUMT439361
C12	NUMT439495
D01	NUMT439042
D02	NUMT439158
D03	NUMT439033
D04	NUMT439413
D05	NUMT439422
D08	NUMT439459
D09	NUMT439468
D10	NUMT439477
D11	NUMT439486
D12	NUMT439370
E01	NUMT439501
E02	NUMT439510
E03	NUMT439529
E05	NUMT439547
E06	NUMT439556
E09	NUMT439583
E10	NUMT439592
E11	NUMT439608
E12	NUMT439617
F01	NUMT439626
F02	NUMT439635
F03	NUMT439644
F04	NUMT439653
F05	NUMT439662
F06	NUMT439671
F07	NUMT439680
F08	NUMT439699
F09	NUMT439705
F10	NUMT439714
F11	NUMT439723
F12	NUMT439732
G01	NUMT439741
G02	NUMT439750
G03	NUMT439769
G04	NUMT439778
G05	NUMT439787
G06	NUMT439796
G07	NUMT439802
G08	NUMT439811
G09	NUMT439820
G10	NUMT439583
G11	NUMT439972
G12	NUMT439963
H01	NUMT439866
H02	NUMT439875
H03	NUMT439884
H04	NUMT439893
H05	NUMT439909
H06	NUMT439918
H07	NUMT439927
H08	NUMT439936
H09	NUMT439945
H10	NUMT439954
H11	NUMT439857
H12	NUMT439848
