Plate ID	CSTRAMP20201130-02
User ID aaaa
Date 8/12/2020
Position	Lab Number	Errors
A01	716872766
A03	1095079439
A05	1095680623
A07	715456116
A09	716862434
A11	1095078554
B02	716861858
B03	716862274
B04	716861570
B05	724113533
B06	715456107
B07	727144770
B08	716862150
B09	717898379
B10	720951729
B11	1095680243
B12	1095019296
C02	716861869
C03	727152715
C04	716862304
C05	1095713003
C06	724113544
C07	716861584
C08	715456152
C09	716862423
C10	1094771016
C11	1095479209
C12	1095019351
D01	716861153
D02	715456193
D03	716862215
D04	1095680609
D05	1095694110
D06	720951738
D07	1095079404
D08	931022464
D09	613686669
D10	1095014433
D11	1095386390
D12	726010944
E01	1095079425
E02	716860354
E03	715456208
E04	715456217
E05	1093834464
E06	1093834512
E07	715456148
E08	724113577
E09	716862440
E10	717898368
E11	1093798229
E12	944908718
F01	716862456
F02	716860363
F03	716861548
F04	945010520
F05	725319085
F06	725319096
F07	716861593
F08	1092313130
F09	720951706
F10	1094771028
F11	1095386403
F12	1094940022
G01	1095119519
G02	931022450
G03	716861552
G04	716861561
G05	716861842
G06	716861831
G07	342236376
G08	716862412
G09	724113588
G10	1092313153
G11	1095768968
G12	1093507458
H01	716862182
H02	1095670549
H03	720951691
H04	716862332
H05	716861897
H06	716861922
H07	1095079418
H08	1093254023
H09	1094261958
H10	1095079711
H11	1093606109
H12	1094956054
